,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
32,A10943,https://www.nysenate.gov/legislation/bills/2009/a10943/amendment/original,Prohibits the use of patient quotas for selecting dental treatments," September 17, 2010",Public Health Law,GOTTFRIED,
33,A10979,https://www.nysenate.gov/legislation/bills/2009/a10979/amendment/original,"Extends until December 1, 2012 the authorization of the county of Wyoming to impose a recording tax on obligations secured by a mortgage on real property"," September 17, 2010",Wyoming County,BURLING,
34,A11312,https://www.nysenate.gov/legislation/bills/2009/a11312/amendment/original,"Provides for a lifetime license for hunting, fishing and trapping under certain circumstances"," September 17, 2010",Environmental Conservation Law,SWEENEY,
35,A11597,https://www.nysenate.gov/legislation/bills/2009/a11597/amendment/original,Makes technical corrections related to reporting requirements of the department of correctional services," September 17, 2010",Correction Law,,
36,S7241,https://www.nysenate.gov/legislation/bills/2009/s7241/amendment/original,Relates to the conditional approval of a final plat," September 17, 2010",Town Law,STEWART-COUSINS,
37,S7454,https://www.nysenate.gov/legislation/bills/2009/s7454/amendment/original,Extends the period of time during which certain real property tax exemptions apply," September 17, 2010",Real Property Tax Law,SAVINO,
38,S7627,https://www.nysenate.gov/legislation/bills/2009/s7627/amendment/original,Authorizes the village of Upper Brookville to expend trust funds to provide access to a park," September 17, 2010",Nassau County,MARCELLINO,
39,S2852,https://www.nysenate.gov/legislation/bills/2009/s2852/amendment/original,"Expands the definition of ""employee"" for the purposes of defense and indemnification of certain nonjudicial employees"," September 17, 2010",Public Officers Law,SAMPSON,
40,S3681,https://www.nysenate.gov/legislation/bills/2009/s3681/amendment/original,Relates to court approval of transfers of structured settlements," September 17, 2010",General Obligations Law,SAMPSON,
41,S7656,https://www.nysenate.gov/legislation/bills/2009/s7656/amendment/original,Requires identification of practices most susceptible to threats from dumping out of state products," September 17, 2010",Agriculture and Markets Law,AUBERTINE,
42,S7830,https://www.nysenate.gov/legislation/bills/2009/s7830/amendment/original,Relates to credit line mortgages," September 17, 2010",Real Property Law,KRUGER,
43,S8350,https://www.nysenate.gov/legislation/bills/2009/s8350/amendment/original,Relates to tenant representative on city of New York housing authority," September 17, 2010",Public Housing Law,DILAN,
44,A10946,https://www.nysenate.gov/legislation/bills/2009/a10946/amendment/original,Requires polling places to be accessible to physically disabled voters," September 17, 2010",Election Law,CAHILL,
45,S6984,https://www.nysenate.gov/legislation/bills/2009/s6984/amendment/original,"Authorizes the town of Montgomery, in Orange county, to offer an optional 20 year retirement plan to police officer Kenneth M. Byrnes"," September 17, 2010",Retirement,LARKIN,
46,A620,https://www.nysenate.gov/legislation/bills/2009/a620/amendment/original,Provides for notification of a cooperative tenant shareholder's or condominium owner's right to terminate a self-dealing contract under federal law," August 30, 2010",General Business Law,KAVANAGH,
47,S1172,https://www.nysenate.gov/legislation/bills/2009/s1172/amendment/original,Authorizes the city of Schenectady to accept an application for real property tax exemption from Union Graduate College," August 30, 2010",Real Property Taxation,FARLEY,
48,S5870,https://www.nysenate.gov/legislation/bills/2009/s5870/amendment/original,"Authorizes the village of Matinecock, county of Nassau, to expend certain trust funds for the restoration of Planting Fields Road"," August 30, 2010",Nassau County,MARCELLINO,
49,S6970,https://www.nysenate.gov/legislation/bills/2009/s6970/amendment/original,Relates to brewer's licenses," August 30, 2010",Alcoholic Beverage Control Law,STACHOWSKI,
50,S7876,https://www.nysenate.gov/legislation/bills/2009/s7876/amendment/original,Provides that one member of the board of the city of Yonkers industrial development agency shall be appointed by the city council of such city," August 30, 2010",General Municipal Law,STEWART-COUSINS,
51,S8130,https://www.nysenate.gov/legislation/bills/2009/s8130/amendment/original,Requires bedbug infestation history to be provided to any lessee of real property within New York city," August 30, 2010",New York City Administrative Code,PERALTA,
52,S8273,https://www.nysenate.gov/legislation/bills/2009/s8273/amendment/original,"Relates to the residence of peace officers employed as fire protection inspectors, urban park rangers and traffic enforcement agents level IV by a city with a population over one million"," August 30, 2010",Public Officers Law,SAVINO,
53,A3563,https://www.nysenate.gov/legislation/bills/2009/a3563/amendment/original,Authorizes withdrawal from a primary election run-off," August 30, 2010",Election Law,PERRY,
54,A5434,https://www.nysenate.gov/legislation/bills/2009/a5434/amendment/original,Requires N.Y. city school districts to notify parents of bedbug infestations," August 30, 2010",Education Law,GIANARIS,
55,A6922,https://www.nysenate.gov/legislation/bills/2009/a6922/amendment/original,Relates to the enforcement of state court judgments," August 30, 2010",Civil Practice Law and Rules,WEINSTEIN,
56,A7850,https://www.nysenate.gov/legislation/bills/2009/a7850/amendment/original,"Provides that polling places, whenever practicable, to be designated directly on a public transportation route"," August 30, 2010",Election Law,PAULIN,
57,A8969,https://www.nysenate.gov/legislation/bills/2009/a8969/amendment/original,Expands assets for the benefit of a decedent's family which are exempt from provisions of a will," August 30, 2010","Estates, Powers and Trusts Law",WEINSTEIN,
58,A9991,https://www.nysenate.gov/legislation/bills/2009/a9991/amendment/original,Establishes the science and technology law center and the technology commercialization clinic program; repealer," August 30, 2010",Public Authorities Law,MAGNARELLI,
59,A10266,https://www.nysenate.gov/legislation/bills/2009/a10266/amendment/original,Makes permanent the provisions of chapter 176 of the laws of 2007 relating to persons exempt from licensure as veterinarians," August 30, 2010",Education,PHEFFER,
60,A10860,https://www.nysenate.gov/legislation/bills/2009/a10860/amendment/original,Dissolves the Corning Urban Renewal Agency; repealer," August 30, 2010",General Municipal Law,BACALLES,
61,A11100,https://www.nysenate.gov/legislation/bills/2009/a11100/amendment/original,Relates to service of orders of protection including applications to extend and petitions for violations of orders of protection and temporary orders of protection," August 30, 2010",Family Court Act,WEINSTEIN,
62,A11111,https://www.nysenate.gov/legislation/bills/2009/a11111/amendment/original,Relates to abandoned infants and endangering the welfare of a child," August 30, 2010",Penal Law,PAULIN,
63,A11131,https://www.nysenate.gov/legislation/bills/2009/a11131/amendment/original,Relating to definition of an independent worker and requirements for an eligible insurer's application," August 30, 2010",Insurance Law,SILVER,
64,A11316,https://www.nysenate.gov/legislation/bills/2009/a11316/amendment/original,Requires the person establishing a lifetime trust to execute and acknowledge such trust," August 30, 2010","Estates, Powers and Trusts Law",WEPRIN,
65,A11546,https://www.nysenate.gov/legislation/bills/2009/a11546/amendment/original,Relates to the powers and duties of the dormitory authority and equipment loans for intellectual property," August 30, 2010",Public Authorities Law,GANTT,
66,A11555,https://www.nysenate.gov/legislation/bills/2009/a11555/amendment/original,Relates to the definition of an independent worker for purposes of the health insurance demonstration program for independent workers," August 30, 2010",Insurance Law,SILVER,
