,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
1402,S6695,https://www.nysenate.gov/legislation/bills/2013/s6695/amendment/original,Relates to the designation of yogurt as the state snack," October 15, 2014",State Law,RANZENHOFER,
1403,S7845,https://www.nysenate.gov/legislation/bills/2013/s7845/amendment/original,Relates to terms and conditions of employment of certain nonjudicial officers and employees of the unified court system," October 8, 2014",Judiciary,BONACIC,
1404,A9668,https://www.nysenate.gov/legislation/bills/2013/a9668/amendment/original,Relates to provisional certification for certain minority and women-owned business enterprises," October 1, 2014",Executive Law,RODRIGUEZ,
1405,A8889,https://www.nysenate.gov/legislation/bills/2013/a8889/amendment/original,Provides for the transfer of police officers of the parks department of the county of Suffolk to the county police department," September 23, 2014",Civil Service Law,ENGLEBRIGHT,
1406,A9001,https://www.nysenate.gov/legislation/bills/2013/a9001/amendment/original,Relates to property tax exemptions for certain parcels in the village of Roslyn," September 23, 2014",Real Property Taxation,LAVINE,
1407,A9075,https://www.nysenate.gov/legislation/bills/2013/a9075/amendment/original,Relates to want of prosecution," September 23, 2014",Civil Practice Law and Rules,STECK,
1408,A9116,https://www.nysenate.gov/legislation/bills/2013/a9116/amendment/original,Relates to abandoned property delivered to the state and held by the state comptroller," September 23, 2014",General Business Law,SIMANOWITZ,
1409,A9464,https://www.nysenate.gov/legislation/bills/2013/a9464/amendment/original,Relates to applications to modify orders of child support in the family court," September 23, 2014",Family Court Act,BARRETT,
1410,A10138,https://www.nysenate.gov/legislation/bills/2013/a10138/amendment/original,Relates to authorized leave for volunteer fire department members or volunteer ambulance squad members for states of emergency," September 23, 2014",Labor Law,THIELE,
1411,A10140,https://www.nysenate.gov/legislation/bills/2013/a10140/amendment/original,Relates to authorizing insurance coverage for equipment and supplies used for the treatment of ostomies," September 23, 2014",Insurance Law,MAGNARELLI,
1412,A8009,https://www.nysenate.gov/legislation/bills/2013/a8009/amendment/original,Relates to certification standards for green buildings," September 23, 2014",Real Property Tax Law,THIELE,
1413,A6618,https://www.nysenate.gov/legislation/bills/2013/a6618/amendment/original,Authorizes certain institutions to receive state aid for earned associate degrees even after being authorized to confer earned bachelor's degrees," September 23, 2014",Education Law,FAHY,
1414,S6803,https://www.nysenate.gov/legislation/bills/2013/s6803/amendment/original,Requires the court to waive any mandatory surcharge and crime victim assistance fee when it is found that the defendant is a victim of sex trafficking," September 23, 2014",Criminal Procedure Law,LANZA,
1415,S6947,https://www.nysenate.gov/legislation/bills/2013/s6947/amendment/original,Legalizes and validates certain bond anticipation notes issued by the village of Whitehall," September 23, 2014",Washington County,LITTLE,
1416,S6948,https://www.nysenate.gov/legislation/bills/2013/s6948/amendment/original,"Legalizes and validates certain bond anticipation notes issued by the village of Whitehall, authorizes such village to issue additional notes and bonds"," September 23, 2014",Washington County,LITTLE,
1417,S6960,https://www.nysenate.gov/legislation/bills/2013/s6960/amendment/original,Allows for the use of an affiliate company to meet certain obligations of an insurer," September 23, 2014",Insurance Law,SEWARD,
1418,S6965,https://www.nysenate.gov/legislation/bills/2013/s6965/amendment/original,"Exempts primary residential property purchased by first-time homebuyers meeting certain income and purchase price requirements from the tax on real estate transfers in the town of Southold, county of Suffolk"," September 23, 2014",Tax Law,LAVALLE,
1419,S7267,https://www.nysenate.gov/legislation/bills/2013/s7267/amendment/original,Relates to part-time police officer positions in the town of Seneca Falls in Seneca county," September 23, 2014",Seneca County,NOZZOLIO,
1420,S7518,https://www.nysenate.gov/legislation/bills/2013/s7518/amendment/original,"Relates to the sale of liens and tax exempt property in the county of Schenectady, in relation to delinquent tax liens"," September 23, 2014",Schenectady County,FARLEY,
1421,S5077,https://www.nysenate.gov/legislation/bills/2013/s5077/amendment/original,Relates to conduct of the examination before trial," September 23, 2014",Civil Practice Law and Rules,BONACIC,
1422,S6174,https://www.nysenate.gov/legislation/bills/2013/s6174/amendment/original,"Authorizes the lease and conveyance of certain waterfront park land in the village of Saugerties to Arm of the Sea Productions, Inc."," September 23, 2014",Ulster County,TKACZYK,
1423,S6649,https://www.nysenate.gov/legislation/bills/2013/s6649/amendment/original,"Authorizes the town of Fort Ann, in the county of Washington, to diminish the area of the Lake Hadlock park district"," September 23, 2014",Town Law,LITTLE,
1424,S7030,https://www.nysenate.gov/legislation/bills/2013/s7030/amendment/original,Relates to the process for the imposition and collection of real property taxes within the county of Onondaga," September 23, 2014",Onondaga County,DEFRANCISCO,
1425,S7105,https://www.nysenate.gov/legislation/bills/2013/s7105/amendment/original,Allows cemeteries in Nassau county to acquire and utilize certain lands for cemetery purposes," September 23, 2014",Not-for-Profit Corporation Law,MARCELLINO,
1426,S7498,https://www.nysenate.gov/legislation/bills/2013/s7498/amendment/original,"Relates to amending the New Hyde Park exempt volunteer firemen's association, inc. use of foreign fire insurance premium taxes"," September 23, 2014",Nassau County Civil Divisions Act,MARTINS,
1427,A4741,https://www.nysenate.gov/legislation/bills/2013/a4741/amendment/original,Relates to expanding the TRIS-free children and babies act," September 18, 2014",Environmental Conservation Law,SWEENEY,
1428,S7745,https://www.nysenate.gov/legislation/bills/2013/s7745/amendment/original,Creates Onondaga Lake Amphitheater Infrastructure and Revitalization Project act," September 15, 2014",Onondaga County,VALESKY,
1429,A9462,https://www.nysenate.gov/legislation/bills/2013/a9462/amendment/original,Postpones expiration of certain tax rates and taxes in the city of New York," September 4, 2014",Tax Law,SILVER,
1430,A8646,https://www.nysenate.gov/legislation/bills/2013/a8646/amendment/original,Relates to the base proportion in approved assessing units in Nassau county," September 4, 2014",Real Property Tax Law,WEISENBERG,
1431,A9613,https://www.nysenate.gov/legislation/bills/2013/a9613/amendment/original,Extends the provisions of chapter 259 of the laws of 2004 relating to the Coordinated Construction Act for Lower Manhattan," September 4, 2014",New York City,SILVER,
1432,A8728,https://www.nysenate.gov/legislation/bills/2013/a8728/amendment/original,"Extends through January 1, 2017, provisions authorizing the operation of certain leased craft without a boating safety certificate"," September 4, 2014",Navigation Law,MARKEY,
1433,A9614,https://www.nysenate.gov/legislation/bills/2013/a9614/amendment/original,Relates to authorizing the payment of bills without prior audit," September 4, 2014",Real Property Taxation,SWEENEY,
1434,A9380,https://www.nysenate.gov/legislation/bills/2013/a9380/amendment/original,Relates to the tax exemption for nuclear powered generating facilities," September 4, 2014",Real Property Tax Law,GALEF,
1435,A9424,https://www.nysenate.gov/legislation/bills/2013/a9424/amendment/original,Extends the effectiveness of provisions of law relating to temporary retail permits issued by the state liquor authority," September 4, 2014",Alcoholic Beverage Control,SCHIMMINGER,
1436,S3817,https://www.nysenate.gov/legislation/bills/2013/s3817/amendment/original,Directs the department of health to establish an internet website to advance women's health initiatives," September 4, 2014",Public Health Law,HANNON,
1437,S6975,https://www.nysenate.gov/legislation/bills/2013/s6975/amendment/original,"Legalizes, validates, ratifies and confirms the actions of the village board of the village of Parish notwithstanding certain defects"," September 4, 2014",Villages,RITCHIE,
1438,S7138,https://www.nysenate.gov/legislation/bills/2013/s7138/amendment/original,Relates to the Jefferson county correctional facility," September 4, 2014",Correction Law,RITCHIE,
1439,A10131,https://www.nysenate.gov/legislation/bills/2013/a10131/amendment/original,"Authorizes the city of Lockport, in the county of Niagara, to finance a certain deficit by the issuance of bonds"," September 4, 2014",Niagara County,CORWIN,
1440,S7066,https://www.nysenate.gov/legislation/bills/2013/s7066/amendment/original,Authorizes the provision of financing by the dormitory authority to the Moffat library of Washingtonville," September 4, 2014",Authorities,LARKIN,
1441,S7188,https://www.nysenate.gov/legislation/bills/2013/s7188/amendment/original,Relates to grand jury proceedings," September 4, 2014",Criminal Procedure Law,NOZZOLIO,
1442,S7271,https://www.nysenate.gov/legislation/bills/2013/s7271/amendment/original,Provides for quality assurance for trauma and emergency care," September 4, 2014",Public Health Law,HANNON,
1443,S7711,https://www.nysenate.gov/legislation/bills/2013/s7711/amendment/original,"Relates to an agreement for a payment in lieu of taxes for property located at 14 Rotterdam Industrial Park, Schenectady, New York"," September 4, 2014",Real Property Taxation,FARLEY,
1444,A9006,https://www.nysenate.gov/legislation/bills/2013/a9006/amendment/original,Enacts the expedited missing persons' identification act," September 3, 2014",Executive Law,LENTOL,
1445,A9504,https://www.nysenate.gov/legislation/bills/2013/a9504/amendment/original,"Provides for a taxpayer assistance authorization for households in the town of Henrietta, county of Monroe"," August 26, 2014",Monroe County,BRONSON,
1446,A10143,https://www.nysenate.gov/legislation/bills/2013/a10143/amendment/original,"Prohibits the sale, purchase, trade, barter and distribution of certain ivory articles and rhinoceros horns"," August 12, 2014",Environmental Conservation Law,SWEENEY,
1447,A10153,https://www.nysenate.gov/legislation/bills/2013/a10153/amendment/original,Relates to the distribution of certain ivory articles and rhinoceros horns to a museum authorized by special charter from the legislature of the state," August 12, 2014",Environmental Conservation Law,SWEENEY,
1448,A412,https://www.nysenate.gov/legislation/bills/2013/a412/amendment/original,Removes certain requirement that notice of party caucus be filed and posted with the local board of elections in village elections," August 11, 2014",Election Law,PAULIN,
1449,A1230,https://www.nysenate.gov/legislation/bills/2013/a1230/amendment/original,Relates to lever voting machines," August 11, 2014",Election Law,ABINANTI,
1450,A2448,https://www.nysenate.gov/legislation/bills/2013/a2448/amendment/original,Provides that members of N.Y. city community boards need only be 16 years of age to be appointed to such board," August 11, 2014",Public Officers Law,ROZIC,
1451,A3549,https://www.nysenate.gov/legislation/bills/2013/a3549/amendment/original,Limits the scope of information disclosed in a published notice of change of name," August 11, 2014",Civil Rights Law,WEINSTEIN,
1452,A5075,https://www.nysenate.gov/legislation/bills/2013/a5075/amendment/original,Relates to prohibiting certain candidates for public office from serving as poll watchers," August 11, 2014",Election Law,MILLMAN,
1453,A7025,https://www.nysenate.gov/legislation/bills/2013/a7025/amendment/original,Relates to the statewide central register of child abuse and maltreatment and verifying a report of child abuse," August 11, 2014",Social Services Law,SIMANOWITZ,
1454,A8340,https://www.nysenate.gov/legislation/bills/2013/a8340/amendment/original,Relates to the retention of poll books," August 11, 2014",Election Law,BUCHWALD,
1455,S6322,https://www.nysenate.gov/legislation/bills/2013/s6322/amendment/original,Designates the Schroon river as an inland waterway for the purposes of waterfront revitalization," August 11, 2014",Executive Law,LITTLE,
1456,A8703,https://www.nysenate.gov/legislation/bills/2013/a8703/amendment/original,Designates the Battenkill river as an inland waterway for the purposes of waterfront revitalization," August 11, 2014",Executive Law,STEC,
1457,S6376,https://www.nysenate.gov/legislation/bills/2013/s6376/amendment/original,Relates to the exemption of certain parcels of land," August 11, 2014",Alcoholic Beverage Control Law,SEWARD,
1458,S7324,https://www.nysenate.gov/legislation/bills/2013/s7324/amendment/original,Relates to consolidation of statutory procurement and consulting reports," August 11, 2014",State Finance Law,MARCELLINO,
1459,A8862,https://www.nysenate.gov/legislation/bills/2013/a8862/amendment/original,"Extends, until December 31, 2015, the authorization of residential property owners in high risk brush fire areas on Staten Island to cut and remove reeds"," August 11, 2014",Real Property,CUSICK,
1460,A8871,https://www.nysenate.gov/legislation/bills/2013/a8871/amendment/original,Relates to guidelines for local area agencies on aging relating to assistance for informal caregivers," August 11, 2014",Elder Law,MILLMAN,
1461,A8922,https://www.nysenate.gov/legislation/bills/2013/a8922/amendment/original,Relates to child care resource and referral program services," August 11, 2014",Social Services Law,LUPARDO,
1462,A9067,https://www.nysenate.gov/legislation/bills/2013/a9067/amendment/original,Relates to making chemical dependence counseling and referrals available in naturally occurring retirement communities," August 11, 2014",Elder Law,MILLMAN,
1463,A9242,https://www.nysenate.gov/legislation/bills/2013/a9242/amendment/original,Designates the Little Ausable river as an inland waterway for the purposes of waterfront revitalization," August 11, 2014",Executive Law,DUPREY,
1464,S6910,https://www.nysenate.gov/legislation/bills/2013/s6910/amendment/original,Relates to EFC financing and the town of Cairo," August 11, 2014",Towns,TKACZYK,
1465,S7762,https://www.nysenate.gov/legislation/bills/2013/s7762/amendment/original,Authorizes certain corporations with both charitable and business purposes to elect to be a non-charitable corporation," August 11, 2014",Not-for-Profit Corporation,RANZENHOFER,
1466,S7046,https://www.nysenate.gov/legislation/bills/2013/s7046/amendment/original,Relates to the Caton fire district," August 11, 2014",Town Law,O'MARA,
1467,A9443,https://www.nysenate.gov/legislation/bills/2013/a9443/amendment/original,"Authorizes the town of Wallkill, county of Orange, to elect a third town justice"," August 11, 2014",Town Law,GUNTHER,
1468,S7143,https://www.nysenate.gov/legislation/bills/2013/s7143/amendment/original,Relates to business records of non-parties," August 11, 2014",Civil Practice Law and Rules,BONACIC,
1469,S7144,https://www.nysenate.gov/legislation/bills/2013/s7144/amendment/original,Relates to renunciation of property interests," August 11, 2014","Estates, Powers and Trusts Law",BONACIC,
1470,A9732,https://www.nysenate.gov/legislation/bills/2013/a9732/amendment/original,"Relates to medical treatment for abused, neglected and destitute children"," August 11, 2014",Social Services Law,LUPARDO,
1471,A9736,https://www.nysenate.gov/legislation/bills/2013/a9736/amendment/original,Amends chapter 208 of the laws of 2010 and extends the provisions of chapter 208 of the laws of 2010 amending the public authorities law relating to the powers of the state of New York mortgage agency," August 11, 2014",Public Authorities,WRIGHT,
1472,A9922,https://www.nysenate.gov/legislation/bills/2013/a9922/amendment/original,Relates to the powers of the New York state housing finance agency with respect to an increase in bond and note authorization," August 11, 2014",Private Housing Finance Law,WRIGHT,
1473,A9970,https://www.nysenate.gov/legislation/bills/2013/a9970/amendment/original,Relates to provisional employees of certain public employers," August 11, 2014",Civil Service Law,ABBATE,
1474,A7298,https://www.nysenate.gov/legislation/bills/2013/a7298/amendment/original,Allows the county of Suffolk to establish a master electrician licensing board," August 11, 2014",County Law,THIELE,
1475,A10108,https://www.nysenate.gov/legislation/bills/2013/a10108/amendment/original,Enacts the school population projection and transparency act," August 11, 2014",Public Authorities Law,SILVER,
1476,S1413,https://www.nysenate.gov/legislation/bills/2013/s1413/amendment/original,Relates to notification of rules and regulations of correctional facilities concerning visitors," August 11, 2014",Correction Law,MONTGOMERY,
1477,S4096,https://www.nysenate.gov/legislation/bills/2013/s4096/amendment/original,"Authorizes the village of Deposit, in the county of Broome, to employ Jay Vandermark, Jr. as a part-time police officer on a noncompetitive basis"," August 11, 2014",Civil Service,LIBOUS,
1478,S6905,https://www.nysenate.gov/legislation/bills/2013/s6905/amendment/original,Includes Ballston Lake in the category of major inland lakes for purposes of inclusion in a waterfront revitalization program," August 11, 2014",Executive Law,FARLEY,
1479,S6946,https://www.nysenate.gov/legislation/bills/2013/s6946/amendment/original,Designates the Great Chazy river as an inland waterway for the purposes of waterfront revitalization," August 11, 2014",Executive Law,LITTLE,
1480,S7692,https://www.nysenate.gov/legislation/bills/2013/s7692/amendment/original,Relates to the disclosure of records to public retirement systems of the city of New York," August 11, 2014",Public Officers Law,SAVINO,
1481,S7693,https://www.nysenate.gov/legislation/bills/2013/s7693/amendment/original,Relates to the exchange of information between the workers' compensation board and the New York city employees' retirement system," August 11, 2014",Workers' Compensation Law,SAVINO,
1482,S6330,https://www.nysenate.gov/legislation/bills/2013/s6330/amendment/original,Relates to the administration of certain director of facility positions," August 11, 2014",Civil Service Law,GOLDEN,
1483,S6521,https://www.nysenate.gov/legislation/bills/2013/s6521/amendment/original,Relates to authorizing the town of Somerset to extend the fire protection district to encompass the village of Barker," August 11, 2014",Towns,MAZIARZ,
1484,S6691,https://www.nysenate.gov/legislation/bills/2013/s6691/amendment/original,"Relates to the disposal of drugs, drug disposal sites and home pharmaceutical collection"," August 11, 2014",Mental Hygiene Law,BOYLE,
1485,S6786,https://www.nysenate.gov/legislation/bills/2013/s6786/amendment/original,"Makes certain findings and determinations with respect to bond anticipation notes issued by the town of Campbell, county of Steuben"," August 11, 2014",Steuben County,O'MARA,
1486,A8035,https://www.nysenate.gov/legislation/bills/2013/a8035/amendment/original,Authorizes Monroe county to establish wireless surcharges," August 11, 2014",County Law,MORELLE,
1487,A10144,https://www.nysenate.gov/legislation/bills/2013/a10144/amendment/original,Authorizes the city of New York to establish reduced speed limits throughout the city and on certain designated highways," August 9, 2014",Vehicle and Traffic Law,O'DONNELL L,
1488,A9523,https://www.nysenate.gov/legislation/bills/2013/a9523/amendment/original,Relates to certain water charges for hospitals and charities in New York city; extends provisions," August 8, 2014",New York City,SILVER,
1489,A8729,https://www.nysenate.gov/legislation/bills/2013/a8729/amendment/original,"Extends the provisions of chapter 185 of the laws of 2005, authorizing the county of Wyoming to impose a county recording tax on obligations secured by a mortgage on real property"," August 7, 2014",Tax Law,DIPIETRO,
1490,A8932,https://www.nysenate.gov/legislation/bills/2013/a8932/amendment/original,"Grants Nancy Porretto Tier IV status in the New York state and local employees' retirement system with a membership date of September 1, 2005"," August 7, 2014",Retirement,BUCHWALD,
1491,S3054,https://www.nysenate.gov/legislation/bills/2013/s3054/amendment/original,Authorizes the Academy Charter School to submit an application for real property tax exemption to the assessor of the county of Nassau," August 7, 2014",Real Property Taxation,HANNON,
1492,A8962,https://www.nysenate.gov/legislation/bills/2013/a8962/amendment/original,Relates to the residency of the Wallkill comptroller," August 7, 2014",Town Law,GUNTHER,
1493,A9302,https://www.nysenate.gov/legislation/bills/2013/a9302/amendment/original,"Extends provisions of law relating to the mortgage recording tax in the county of Steuben until December 1, 2017"," August 7, 2014",Tax Law,PALMESANO,
1494,S6481,https://www.nysenate.gov/legislation/bills/2013/s6481/amendment/original,Authorizes the assessor of the county of Nassau to accept an application for exemption from real property taxes from the Living Faith Christian Church," August 7, 2014",Real Property Taxation,HANNON,
1495,S6498,https://www.nysenate.gov/legislation/bills/2013/s6498/amendment/original,"Relates to extending the authorization for the county of Greene to impose an additional mortgage recording tax until December 1, 2016"," August 7, 2014",Tax Law,TKACZYK,
1496,A9326,https://www.nysenate.gov/legislation/bills/2013/a9326/amendment/original,"Relates to authorizing Cong Chevra Kadisha Anash, Inc. of Monroe to file an application for a real property tax exemption"," August 7, 2014",Real Property Taxation,LENTOL,
1497,S6549,https://www.nysenate.gov/legislation/bills/2013/s6549/amendment/original,Relates to a Herkimer county recording tax to be imposed on the obligation secured by a mortgage on real property," August 7, 2014",Herkimer County,SEWARD,
1498,A9572,https://www.nysenate.gov/legislation/bills/2013/a9572/amendment/original,Provides that certain provisions of law relating to the percentage of non-resident members of a fire company shall not apply to the village of Delanson volunteer fire company," August 7, 2014",Village Law,SANTABARBARA,
1499,A9751,https://www.nysenate.gov/legislation/bills/2013/a9751/amendment/original,Relates to computation of adjusted base proportions for tax assessment rolls," August 7, 2014",Real Property Tax Law,RAMOS,
1500,A9874,https://www.nysenate.gov/legislation/bills/2013/a9874/amendment/original,Authorizes the commissioner of general services to sell certain land to Northeast Brooklyn Housing Development Corporation," August 7, 2014","General Services, Commissioner of",MOSLEY,
1501,S6723,https://www.nysenate.gov/legislation/bills/2013/s6723/amendment/original,Enables the county of Albany to impose and collect taxes on occupancy of hotel or motel rooms in Albany county for an additional two years," August 7, 2014",Taxation,BRESLIN,
1502,S6754,https://www.nysenate.gov/legislation/bills/2013/s6754/amendment/original,"Authorizes Shaare Rachamim, LLC to file an application for exemption from real property taxes"," August 7, 2014",Real Property Taxation,MARTINS,
1503,S6840,https://www.nysenate.gov/legislation/bills/2013/s6840/amendment/original,"Extends provisions of law relating to the mortgage recording tax in the county of Yates until December 1, 2017"," August 7, 2014",Yates County,O'MARA,
1504,S7279,https://www.nysenate.gov/legislation/bills/2013/s7279/amendment/original,Relates to amending the legal description of parcels for the lease of land for use as a wireless communications facility," August 7, 2014",Saratoga County,FARLEY,
1505,S7399,https://www.nysenate.gov/legislation/bills/2013/s7399/amendment/original,Authorizes Nicole Steinberg to apply for and receive retroactive membership in the New York state teachers' retirement system," August 7, 2014",Retirement,LAVALLE,
1506,S7687,https://www.nysenate.gov/legislation/bills/2013/s7687/amendment/original,Authorizes the assessor of the city of Hudson to accept an application for exemption from real property taxes from the Holy Temple First Church of God in Christ," August 7, 2014",Real Property Taxation,MARCHIONE,
1507,S7688,https://www.nysenate.gov/legislation/bills/2013/s7688/amendment/original,Authorizes the assessor of the city of Hudson to accept an application for exemption from real property taxes from the Shiloh Baptist Church," August 7, 2014",Real Property Taxation,MARCHIONE,
1508,S7689,https://www.nysenate.gov/legislation/bills/2013/s7689/amendment/original,Relates to authorizing the assessor of the city of Hudson to accept an application for exemption from real property taxes from the State Street A M E Zion Church," August 7, 2014",Real Property Taxation,MARCHIONE,
1509,S7781,https://www.nysenate.gov/legislation/bills/2013/s7781/amendment/original,"Authorizes the Antrim Players, Inc. to file an application for exemption from real property taxes for the parcel of land located in the town of Ramapo, county of Rockland"," August 7, 2014",Real Property,CARLUCCI,
1510,S7788,https://www.nysenate.gov/legislation/bills/2013/s7788/amendment/original,Authorizes the International Christian Fellowship to file an application for a real property tax exemption," August 7, 2014",Real Property Taxation,CARLUCCI,
1511,S7809,https://www.nysenate.gov/legislation/bills/2013/s7809/amendment/original,"Authorizes The Long Island Gay, Lesbian, Bisexual and Transgender Health and Human Services Network, Inc. to file an application for retroactive tax exempt status"," August 7, 2014",Real Property Taxation,BOYLE,
1512,S6210,https://www.nysenate.gov/legislation/bills/2013/s6210/amendment/original,"Authorizes Congregation S.T.L. Corporation to file an application for exemption from real property taxes for a certain parcel of land located in the village of Great Neck, county of Nassau"," August 7, 2014",Real Property Taxation,MARTINS,
1513,S6831,https://www.nysenate.gov/legislation/bills/2013/s6831/amendment/original,"Authorizes Buckley Country Day School to file an application for exemption from real property taxes for a certain parcel of land located in the village of North Hills, county of Nassau"," August 7, 2014",Real Property Taxation,MARTINS,
1514,S7635,https://www.nysenate.gov/legislation/bills/2013/s7635/amendment/original,Grants retroactive tier V membership in the New York state and local employees' retirement system to John Ginestro," August 7, 2014",Retirement,DEFRANCISCO,
1515,S6587,https://www.nysenate.gov/legislation/bills/2013/s6587/amendment/original,"Extends Warren county's additional mortgage recording tax authorization until December 1, 2016"," August 7, 2014",Warren County,LITTLE,
1516,S6925,https://www.nysenate.gov/legislation/bills/2013/s6925/amendment/original,Extends the effectiveness of chapter 405 of the laws of 2005 for two years relating to authorization for the county of Albany to impose a mortgage recording tax," August 7, 2014",Albany County,BRESLIN,
1517,S7843,https://www.nysenate.gov/legislation/bills/2013/s7843/amendment/original,Provides that the National September 11 Memorial & Museum will be an eligible entity for purposes of the exemption provided in chapter 696 of the laws of 1887," August 7, 2014",New York City,LANZA,
1518,A9846,https://www.nysenate.gov/legislation/bills/2013/a9846/amendment/original,Relates to authorizing a restaurant-brewers license for the Culinary Institute of America in Hyde Park," August 5, 2014",Alcoholic Beverage Control Law,BARRETT,
1519,A5959,https://www.nysenate.gov/legislation/bills/2013/a5959/amendment/original,Suspends the income tax refund statute of limitations for individuals who are financially disabled," August 5, 2014",Tax Law,FARRELL,
1520,S612,https://www.nysenate.gov/legislation/bills/2013/s612/amendment/original,Excludes any time during which a person was incarcerated from the ten year period relevant to the definition of the crime of persistent sexual abuse," August 1, 2014",Penal Law,GIANARIS,
1521,S6828,https://www.nysenate.gov/legislation/bills/2013/s6828/amendment/original,"Designates a portion of the state highway system in the hamlet of Bay Shore, county of Suffolk, as the ""Corey J. Swinson Memorial Bridge"""," August 1, 2014",Highway Law,BOYLE,
1522,S6422,https://www.nysenate.gov/legislation/bills/2013/s6422/amendment/original,Designates the Detective John M. Falcone Memorial Highway," August 1, 2014",Highway Law,GIPSON,
1523,S7347,https://www.nysenate.gov/legislation/bills/2013/s7347/amendment/original,Authorizes the Buffalo school district to require minors five years of age to attend kindergarten," July 23, 2014",Education Law,GRISANTI,
1524,A8196,https://www.nysenate.gov/legislation/bills/2013/a8196/amendment/original,Establishes the crime of public lewdness in the first degree," July 23, 2014",Penal Law,FAHY,
1525,A9472,https://www.nysenate.gov/legislation/bills/2013/a9472/amendment/original,Authorizes the Utica school district to require certain minors five years old to attend kindergarten," July 23, 2014",Education Law,BRINDISI,
1526,A10128,https://www.nysenate.gov/legislation/bills/2013/a10128/amendment/original,Relates to the crime of aggravated harassment in the second degree," July 23, 2014",Penal Law,WEINSTEIN,
1527,A9202,https://www.nysenate.gov/legislation/bills/2013/a9202/amendment/original,"Establishes September 28, 2014 as the date of the Bronx Marathon for the purposes of authorizing certain health care professionals licensed in other jurisdictions to practice in New York state during that event"," July 22, 2014",Sports,GLICK,
1528,A9231,https://www.nysenate.gov/legislation/bills/2013/a9231/amendment/original,Provides that certain provisions of laws relating to the percentage of non-resident members of a fire company shall not apply to the village of Blasdell volunteer fire department," July 22, 2014",Village Law,RYAN,
1529,S7017,https://www.nysenate.gov/legislation/bills/2013/s7017/amendment/original,"Makes certain findings and determinations with respect to certain bond anticipation notes issued by the town of Clifton, in the county of St. Lawrence"," July 22, 2014",Villages,GRIFFO,
1530,S6251,https://www.nysenate.gov/legislation/bills/2013/s6251/amendment/original,"Requires the office of alcoholism and substance abuse services, in consultation with the state education department, to identify or develop materials on problem gambling among school-aged youth"," July 22, 2014",Mental Hygiene Law,CARLUCCI,
1531,A181,https://www.nysenate.gov/legislation/bills/2013/a181/amendment/original,Relates to the construction of certain facilities for the New York city housing authority," July 22, 2014",Public Authorities Law,KAVANAGH,
1532,A9337,https://www.nysenate.gov/legislation/bills/2013/a9337/amendment/original,"Authorizes the town of Marlborough, in the county of Ulster, to offer police officers Charles Hoffman and Arthur Terwilliger an optional 20 year retirement plan"," July 22, 2014",Retirement,SKARTADOS,
1533,S7019,https://www.nysenate.gov/legislation/bills/2013/s7019/amendment/original,Extends certain provisions relating to the New York state thoroughbred breeding and development fund," July 22, 2014",Racing,BONACIC,
1534,S7086,https://www.nysenate.gov/legislation/bills/2013/s7086/amendment/original,Authorizes the village of Alfred to offer an optional twenty year retirement plan to police officer Ryan McKee," July 22, 2014",Retirement,YOUNG,
1535,A9349,https://www.nysenate.gov/legislation/bills/2013/a9349/amendment/original,Relates to the village of Suffern parking authority; repealer," July 22, 2014",Public Authorities Law,JAFFEE,
1536,S6253,https://www.nysenate.gov/legislation/bills/2013/s6253/amendment/original,Relates to eligibility for health benefits; repealer," July 22, 2014",Civil Service Law,FLANAGAN,
1537,A9430,https://www.nysenate.gov/legislation/bills/2013/a9430/amendment/original,Relates to extending the authority of the department of environmental conservation to manage clams," July 22, 2014",Environmental Conservation Law,SCHIMEL,
1538,A9498,https://www.nysenate.gov/legislation/bills/2013/a9498/amendment/original,Relates to owner liability for failure of operator to comply with traffic control indications," July 22, 2014",Vehicle and Traffic,GANTT,
1539,A6567,https://www.nysenate.gov/legislation/bills/2013/a6567/amendment/original,Provides for the electronic service of orders of the public service commission," July 22, 2014",Public Service Law,BRENNAN,
1540,S7616,https://www.nysenate.gov/legislation/bills/2013/s7616/amendment/original,"Authorizes the town of Stony Point, in the county of Rockland, to offer police officers Dennis Tobin, Thomas Clarke and Christopher Schulok an optional 20 year retirement plan"," July 22, 2014",Retirement,LARKIN,
1541,A9604,https://www.nysenate.gov/legislation/bills/2013/a9604/amendment/original,Relates to funding for student health plans," July 22, 2014",Insurance Law,MORELLE,
1542,S6409,https://www.nysenate.gov/legislation/bills/2013/s6409/amendment/original,Extends the period of time for which a municipality has the power to exclude indebtedness contracted for sewage facilities," July 22, 2014",Local Finance Law,MARTINS,
1543,A9715,https://www.nysenate.gov/legislation/bills/2013/a9715/amendment/original,Extends provisions of law relating to authorizing pharmacists to perform collaborative drug therapy management with physicians in certain settings," July 22, 2014",Education Law,GLICK,
1544,S7633,https://www.nysenate.gov/legislation/bills/2013/s7633/amendment/original,"Provides that the building inspector/code enforcement officer of the town of Conklin, in the county of Broome, need not be a resident of such town, so long as he or she resides in such county"," July 22, 2014",Town Law,LIBOUS,
1545,S6495,https://www.nysenate.gov/legislation/bills/2013/s6495/amendment/original,Permits the county of Suffolk to extend the real property tax payment deadline for the town of East Hampton residents," July 22, 2014",Suffolk County,LAVALLE,
