,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,sponsor_party,sponsor_name,bill_year
0,S7728,https://www.nysenate.gov/legislation/bills/2011/s7728/amendment/original,Establishes a beer production tax credit for beer produced within the state by a taxpayer that is registered as a distributor; repealer,2012-07-18,Tax ,ZELDIN,Republican,Lee Zeldin,2012
1,S6193,https://www.nysenate.gov/legislation/bills/2011/s6193/amendment/original,"Authorizes assessor of the town of Islip, county of Suffolk to exempt certain parcels owned by BB/S Facilities Management Corporation from taxation",2012-07-18,Property Tax,ZELDIN,Republican,Lee Zeldin,2012
2,S7131,https://www.nysenate.gov/legislation/bills/2011/s7131/amendment/original,Relates to limiting base proportion for the 2012-2013 assessment roll in the county of Suffolk,2012-06-29,Property Tax,ZELDIN,Republican,Lee Zeldin,2012
3,S5196,https://www.nysenate.gov/legislation/bills/2011/s5196/amendment/original,Relates to the regulation of certain types of clams,2011-08-17,Environmental Conservation,ZELDIN,Republican,Lee Zeldin,2011
4,S4092,https://www.nysenate.gov/legislation/bills/2013/s4092/amendment/original,"Authorizes Hands Across Long Island, Inc. to retroactively apply for a real property tax exemption for certain property in Ronkonkoma",2013-11-13,Property Tax,ZELDIN,Republican,Lee Zeldin,2013
5,S5639,https://www.nysenate.gov/legislation/bills/2013/s5639/amendment/original,"Authorizes New York 811, Inc. to receive retroactive real property tax exempt status",2013-11-13,Property Tax,ZELDIN,Republican,Lee Zeldin,2013
6,S5367,https://www.nysenate.gov/legislation/bills/2013/s5367/amendment/original,Authorizes Saint John's Evangelical Lutheran Church to file an application for retroactive tax exempt status,2013-10-21,Property Tax,ZELDIN,Republican,Lee Zeldin,2013
7,S5722,https://www.nysenate.gov/legislation/bills/2013/s5722/amendment/original,Extends the authorization of the village of Patchogue to use sewer surplus for infrastructure projects,2013-07-31,Villages,ZELDIN,Republican,Lee Zeldin,2013
8,S5027,https://www.nysenate.gov/legislation/bills/2013/s5027/amendment/original,Relates to limiting base proportion for the 2013-2014 assessment roll in the county of Suffolk,2013-07-31,Property Tax,ZELDIN,Republican,Lee Zeldin,2013
9,S5838,https://www.nysenate.gov/legislation/bills/2013/s5838/amendment/original,Relates to management of the American lobster; repealer,2013-07-31,Environmental Conservation,ZELDIN,Republican,Lee Zeldin,2013
10,S5819,https://www.nysenate.gov/legislation/bills/2013/s5819/amendment/original,"Relates to the application by the town of Brookhaven for the transfer or conveyance of land formerly used as an armory to the town of Brookhaven, county of Suffolk",2013-07-12,Municipalities,ZELDIN,Republican,Lee Zeldin,2013
11,S4220,https://www.nysenate.gov/legislation/bills/2013/s4220/amendment/original,Authorizes DEC to manage whelk and conch,2013-05-22,Environmental Conservation,ZELDIN,Republican,Lee Zeldin,2013
12,S4221,https://www.nysenate.gov/legislation/bills/2013/s4221/amendment/original,Extends the authority of the department of environmental conservation to manage scallops,2013-05-22,Environmental Conservation,ZELDIN,Republican,Lee Zeldin,2013
13,A3762,https://www.nysenate.gov/legislation/bills/2009/a3762/amendment/original,Relates to the transportation and possession of a slot machine under certain circumstances,2010-08-13,Penal ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2010
14,A8815,https://www.nysenate.gov/legislation/bills/2009/a8815/amendment/original,Provides a residential membership exemption for volunteer firefighters in Rockland Lake fire district in Rockland County,2009-09-16,Towns ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2009
15,A9182,https://www.nysenate.gov/legislation/bills/2011/a9182/amendment/original,Relates to specifying the time frame under which the village of Southampton shall pay certain retirement costs,2012-07-18,Retirement and Social Security,THIELE,Independence Party,Fred Thiele,2012
16,A6963,https://www.nysenate.gov/legislation/bills/2009/a6963/amendment/original,Strengthens wage and hour protections for working people,2009-08-26,Labor ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2009
17,A6565,https://www.nysenate.gov/legislation/bills/2009/a6565/amendment/original,Authorizes and empowers the county of Rockland to amortize the cost of the targeted county retirement program of the county of Rockland,2009-07-11,Local Finance ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2009
18,A6836,https://www.nysenate.gov/legislation/bills/2011/a6836/amendment/original,Relates to an application for relief in aid of arbitration in a city court,2011-08-03,Uniform City Court Act,ZEBROWSKI,Democrat,Kenneth Zebrowski,2011
19,A6964,https://www.nysenate.gov/legislation/bills/2011/a6964/amendment/original,Relates to the management of American shad,2011-08-03,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2011
20,A6965,https://www.nysenate.gov/legislation/bills/2011/a6965/amendment/original,Relates to the management of Atlantic and shortnose sturgeon,2011-08-03,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2011
21,A6966,https://www.nysenate.gov/legislation/bills/2011/a6966/amendment/original,Relates to the management of alewife,2011-08-03,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2011
22,A5184,https://www.nysenate.gov/legislation/bills/2011/a5184/amendment/original,Relates to the employment of police officers in the town of Southampton; repealer,2011-08-03,Retirement and Social Security,THIELE,Independence Party,Fred Thiele,2011
23,A6648,https://www.nysenate.gov/legislation/bills/2013/a6648/amendment/original,"Authorizes the assessor of the town of Haverstraw to accept an application for exemption from real property taxes from Head Start of Rockland, Inc. for a certain parcel of land located in the town of Haverstraw",2013-10-23,Property Tax,ZEBROWSKI,Democrat,Kenneth Zebrowski,2013
24,A1324,https://www.nysenate.gov/legislation/bills/2013/a1324/amendment/original,Temporarily extends the maximum term of delinquent real property tax installment agreements,2013-10-23,Property Tax,ZEBROWSKI,Democrat,Kenneth Zebrowski,2013
25,A6910,https://www.nysenate.gov/legislation/bills/2013/a6910/amendment/original,"Extends until December 31, 2015, the expiration of the authority of the department of environmental conservation to manage Atlantic and shortnose sturgeon",2013-05-22,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2013
26,A195,https://www.nysenate.gov/legislation/bills/2013/a195/amendment/original,Further amends provisions relating to pleadings in actions involving the conduct of business requiring licensure by the state,2013-05-02,Civil Practice,ZEBROWSKI,Democrat,Kenneth Zebrowski,2013
27,A9219,https://www.nysenate.gov/legislation/bills/2015/a9219/amendment/original,Relates to notice of public hearings relating to the adoption of rules and regulations,2016-11-04,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2016
28,A10242,https://www.nysenate.gov/legislation/bills/2015/A10242,Relates to requiring certain agencies to submit regulatory agendas for publication in the state register,2016-11-04,State Administrative Procedure Act,ZEBROWSKI,Democrat,Kenneth Zebrowski,2016
29,A9612,https://www.nysenate.gov/legislation/bills/2015/a9612/amendment/original,"Relates to online posting of full text of rules, statements and analyses",2016-09-09,State Administrative Procedure Act,ZEBROWSKI,Democrat,Kenneth Zebrowski,2016
30,A9615,https://www.nysenate.gov/legislation/bills/2015/a9615/amendment/original,Makes the text of emergency rules available online,2016-09-09,State Administrative Procedure Act,ZEBROWSKI,Democrat,Kenneth Zebrowski,2016
31,A10112,https://www.nysenate.gov/legislation/bills/2015/A10112,"Extends until December 31, 2019, the authority of the department of environmental conservation to regulate the taking and landing of American shad",2016-07-21,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2016
32,A7219,https://www.nysenate.gov/legislation/bills/2015/a7219/amendment/original,"Relates to the effectiveness of the ""Rockland Bergen Flood Mitigation act"".",2015-09-25,Rockland County,ZEBROWSKI,Democrat,Kenneth Zebrowski,2015
33,A7861,https://www.nysenate.gov/legislation/bills/2015/a7861/amendment/original,Extends the authority of the department of environmental conservation to manage Atlantic and shortnose sturgeon,2015-08-13,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2015
34,A6048,https://www.nysenate.gov/legislation/bills/2017/A6048,Relates to the authenticating effect of a party's production of material authored or otherwise created by the party,2018-08-24,Civil Practice,ZEBROWSKI,Democrat,Kenneth Zebrowski,2018
35,A9949,https://www.nysenate.gov/legislation/bills/2017/a9949,"Extends limitations on the shift between classes of taxable property in the town of Clarkstown, county of Rockland",2018-07-31,Property Tax,ZEBROWSKI,Democrat,Kenneth Zebrowski,2018
36,A10815,https://www.nysenate.gov/legislation/bills/2017/a10815,Appointment of peace officers in the county of Rockland,2018-07-31,Public Officers ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2018
37,A8938,https://www.nysenate.gov/legislation/bills/2017/a8938,"Relates to directing the department of financial services to study, evaluate and make recommendations concerning online lending institutions",2018-06-01,Financial Services,ZEBROWSKI,Democrat,Kenneth Zebrowski,2018
38,A1310,https://www.nysenate.gov/legislation/bills/2017/A1310,Establishes a process for the revocation of a code enforcement officer's certificate,2017-12-18,Executive ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2017
39,A8064,https://www.nysenate.gov/legislation/bills/2017/a8064,Extends provisions of law relating to removing special powers granted to the society for the prevention of cruelty to children,2017-07-24,Family Court Act,ZEBROWSKI,Democrat,Kenneth Zebrowski,2017
40,A7821,https://www.nysenate.gov/legislation/bills/2019/a7821,Relates to the transfer of unappropriated state land,2020-11-27,Rockland County,ZEBROWSKI,Democrat,Kenneth Zebrowski,2020
41,A1971,https://www.nysenate.gov/legislation/bills/2019/a1971,Expands the amount of barrels that a restaurant brewer may sell at retail,2019-12-16,Alcoholic Beverage Control ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
42,A8024,https://www.nysenate.gov/legislation/bills/2019/a8024,Clarifies the employee requirements for appraisal management companies,2019-12-16,Executive ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
43,A4668,https://www.nysenate.gov/legislation/bills/2019/a4668,Relates to disclosure of the identities of political committees making certain expenditures for political communications,2019-11-08,Election ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
44,A3471,https://www.nysenate.gov/legislation/bills/2019/a3471,Decreases the amount of alcohol in a person's system necessary to be considered to be intoxicated while hunting,2019-10-23,Environmental Conservation,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
45,A1940,https://www.nysenate.gov/legislation/bills/2019/a1940,Increases number of withdrawal transactions from basic banking accounts for account holders sixty-five years of age or older from eight to twelve,2019-09-13,Banking ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
46,A4420,https://www.nysenate.gov/legislation/bills/2019/a4420,Expands the length of time to pay delinquent taxes in installments to thirty-six months,2019-09-13,Property Tax,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
47,A7433,https://www.nysenate.gov/legislation/bills/2019/a7433,Permits the Village of Upper Nyack to file an application for a real property tax exemption,2019-09-13,Property Tax,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
48,A7671,https://www.nysenate.gov/legislation/bills/2019/a7671,Relates to extending the repeal date for hepatitis C testing in hospitals,2019-09-13,Public Health,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
49,A1945,https://www.nysenate.gov/legislation/bills/2019/a1945,Establishes a time period in which an action to recover damages for injury arising from domestic violence must be brought,2019-09-04,Civil Practice,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
50,A6593,https://www.nysenate.gov/legislation/bills/2019/a6593,"Extends the effectiveness of certain provisions of chapter 329 of the laws of 2009, relating to removing special powers granted to the society for the prevention of cruelty to children",2019-08-09,Family Court Act,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
51,A5765,https://www.nysenate.gov/legislation/bills/2019/a5765,"Extends limitations on the shift between classes of taxable property in the town of Clarkstown, county of Rockland",2019-07-27,Property Tax,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
52,A881,https://www.nysenate.gov/legislation/bills/2019/a881,Provides a temporary extension for payment of real property taxes owed by a person who has been either a furloughed or designated non-pay federal employee,2019-02-01,Property Tax,ZEBROWSKI,Democrat,Kenneth Zebrowski,2019
53,A9167,https://www.nysenate.gov/legislation/bills/2021/a9167,Relates to congressional districts,2022-02-03,State ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2022
54,A9168,https://www.nysenate.gov/legislation/bills/2021/a9168,Relates to assembly and senate districts,2022-02-03,State ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2022
55,A7327,https://www.nysenate.gov/legislation/bills/2021/a7327,Relates to providing for discretionary buying thresholds,2021-07-16,State Finance ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2021
56,A949,https://www.nysenate.gov/legislation/bills/2021/a949,Authorizes the public service commission to require water-works corporations to provide certain residents with non-billing related information,2021-07-01,Public Service ,ZEBROWSKI,Democrat,Kenneth Zebrowski,2021
57,A965,https://www.nysenate.gov/legislation/bills/2021/a965,"Relates to a conveyance of land to Rockland Recovery Homes, Inc.",2021-01-28,"General Services, Commissioner of",ZEBROWSKI,Democrat,Kenneth Zebrowski,2021
58,S6202,https://www.nysenate.gov/legislation/bills/2011/s6202/amendment/original,Authorizes non-residents of the county of Allegany to be appointed as peace officers for the society for the prevention of cruelty to animals for such county,2012-12-17,Public Officers ,YOUNG,Republican,Catherine Young,2012
59,S6480,https://www.nysenate.gov/legislation/bills/2011/s6480/amendment/original,Authorizes local legislative bodies to grant additional real property tax exemptions to certain redevelopment company projects,2012-08-17,Private Housing Finance ,YOUNG,Republican,Catherine Young,2012
60,S7647,https://www.nysenate.gov/legislation/bills/2011/s7647/amendment/original,"Authorizes town of Ellicottville, county of Cattaraugus to transfer funds from an unappropriated fund balance for the construction of a highway garage",2012-08-17,Towns,YOUNG,Republican,Catherine Young,2012
61,S6899,https://www.nysenate.gov/legislation/bills/2011/s6899/amendment/original,"Increases, from $16,280,000,000 to $17,280,000,000, the bonding authorization granted to the New York state housing finance agency",2012-08-17,Private Housing Finance ,YOUNG,Republican,Catherine Young,2012
62,S7498,https://www.nysenate.gov/legislation/bills/2011/s7498/amendment/original,"Validates, ratifies and confirms certain bonds issued by the village of Dansville, in the county of Livingston, and authorizes issuance of further bonds",2012-08-01,Bonds and Notes,YOUNG,Republican,Catherine Young,2012
63,S7509,https://www.nysenate.gov/legislation/bills/2011/s7509/amendment/original,Relates to the office of city comptroller of the city of Salamanca,2012-08-01,Public Officers ,YOUNG,Republican,Catherine Young,2012
64,S6602,https://www.nysenate.gov/legislation/bills/2011/s6602/amendment/original,"Extends Cattaraugus county's mortgage recording tax through December 1, 2015",2012-07-18,Cattaraugus County,YOUNG,Republican,Catherine Young,2012
65,S6776,https://www.nysenate.gov/legislation/bills/2011/s6776/amendment/original,Relates to free sport fishing clinics,2012-07-12,Environmental Conservation,YOUNG,Republican,Catherine Young,2012
66,S6901,https://www.nysenate.gov/legislation/bills/2011/s6901/amendment/original,Relates to the private activity bond allocation act of 2012,2012-06-29,Economic Development,YOUNG,Republican,Catherine Young,2012
67,S7408,https://www.nysenate.gov/legislation/bills/2011/s7408/amendment/original,Extends the effectiveness of provisions relating to new owners of buildings for which administrators have been appointed pursuant to article 7-A of the real property actions and proceedings law,2012-06-29,Real Property,YOUNG,Republican,Catherine Young,2012
68,S6553,https://www.nysenate.gov/legislation/bills/2011/s6553/amendment/original,Relates to certain contracts for rural area revitalization contracts,2012-05-31,Private Housing Finance ,YOUNG,Republican,Catherine Young,2012
69,S6554,https://www.nysenate.gov/legislation/bills/2011/s6554/amendment/original,Provides that up to ten percent of project cost for affordable home ownership development contracts may be used for particular operating costs,2012-05-31,Private Housing Finance ,YOUNG,Republican,Catherine Young,2012
70,S4720,https://www.nysenate.gov/legislation/bills/2011/s4720/amendment/original,Relates to oil and gas drilling in Allegany state park,2011-09-23,"Parks, Recreation and Historic Preservation",YOUNG,Republican,Catherine Young,2011
71,S864,https://www.nysenate.gov/legislation/bills/2011/s864/amendment/original,"Designates state highway 19 in the town of Hume in the county of Allegany as the ""Almond E. Fisher Memorial Highway""",2011-08-03,Highway,YOUNG,Republican,Catherine Young,2011
72,S5610,https://www.nysenate.gov/legislation/bills/2011/s5610/amendment/original,"Designates bridge on state route 19, in the town of Amity, county of Allegany, as the ""Corporal Jason Dunham Memorial Bridge""",2011-08-03,Highway,YOUNG,Republican,Catherine Young,2011
73,S4784,https://www.nysenate.gov/legislation/bills/2011/s4784/amendment/original,"Extends expiration of the authorization to the county of Cattaraugus to impose additional 1% sales and compensating use taxes until November 30, 2013",2011-07-28,Tax ,YOUNG,Republican,Catherine Young,2011
74,S5059,https://www.nysenate.gov/legislation/bills/2011/s5059/amendment/original,"Extends expiration of authorization of county of Chautauqua to impose additional 1/2% sales and use taxes until November 30, 2013",2011-07-28,Tax ,YOUNG,Republican,Catherine Young,2011
75,S4033,https://www.nysenate.gov/legislation/bills/2011/s4033/amendment/original,Relates to the application and effective date of chapter 199 of the laws of 2008,2011-07-20,Housing,YOUNG,Republican,Catherine Young,2011
76,S4021,https://www.nysenate.gov/legislation/bills/2011/s4021/amendment/original,"Extends expiration of authorization of county of Allegany to impose additional 1 1/2% sales and compensating use taxes until November 30, 2013",2011-07-12,Tax ,YOUNG,Republican,Catherine Young,2011
77,S4032,https://www.nysenate.gov/legislation/bills/2011/s4032/amendment/original,Extends various chapters relating to the powers of the New York state housing finance agency and the New York state mortgage agency,2011-06-28,Private Housing Finance ,YOUNG,Republican,Catherine Young,2011
78,S4031,https://www.nysenate.gov/legislation/bills/2011/s4031/amendment/original,Relates to redistributing 2011 bond volume allocations,2011-06-08,Bonds and Notes,YOUNG,Republican,Catherine Young,2011
79,S769,https://www.nysenate.gov/legislation/bills/2011/s769/amendment/original,Includes farm land which includes agricultural amusements within provisions of law relating to agricultural districts,2011-06-08,Agriculture and Markets,YOUNG,Republican,Catherine Young,2011
80,S7818,https://www.nysenate.gov/legislation/bills/2013/s7818/amendment/original,Relates to treatment plans for certain inmates who are receiving mental health services at or prior to the time of their anticipated release date,2014-12-29,Correction ,YOUNG,Republican,Catherine Young,2014
81,S7852,https://www.nysenate.gov/legislation/bills/2013/s7852/amendment/original,Requires insurers and medical assistance for needy persons to provide coverage for the provision of telehealth services,2014-12-29,Public Health,YOUNG,Republican,Catherine Young,2014
82,S5928,https://www.nysenate.gov/legislation/bills/2013/s5928/amendment/original,"Encourages participation by minority and women-owned business enterprises in housing, urban renewal and urban development action area project contracts",2014-11-21,General Municipal ,YOUNG,Republican,Catherine Young,2014
83,S4408,https://www.nysenate.gov/legislation/bills/2021/s4408,Relates to disability benefits for firefighters employed by the division of military and naval affairs,2021-10-29,Retirement and Social Security,SKOUFIS,Democrat,James Skoufis,2021
84,S6884,https://www.nysenate.gov/legislation/bills/2013/s6884/amendment/original,Extends expiration of authority granted to the city of New York to restructure the rents of units in buildings receiving municipally financed rehabilitation loans,2014-06-30,Housing,YOUNG,Republican,Catherine Young,2014
85,S6885,https://www.nysenate.gov/legislation/bills/2013/s6885/amendment/original,Extends the expiration of authority granted to the city of New York to restructure rent for units in multiple dwellings getting loans to remove substandard conditions,2014-06-30,Housing,YOUNG,Republican,Catherine Young,2014
86,S5082,https://www.nysenate.gov/legislation/bills/2013/s5082/amendment/original,"Increase the bonding authority of the New York city housing development corporation from $10,250,000,000 to $11,250,000,000",2013-07-31,Private Housing Finance ,YOUNG,Republican,Catherine Young,2013
87,S4400,https://www.nysenate.gov/legislation/bills/2013/s4400/amendment/original,State Housing Finance Authority power extenders,2013-07-12,Public Authorities ,YOUNG,Republican,Catherine Young,2013
88,S4579,https://www.nysenate.gov/legislation/bills/2013/s4579/amendment/original,Relates to the requirements for individuals serving as town justice,2013-07-12,Towns ,YOUNG,Republican,Catherine Young,2013
89,S4592,https://www.nysenate.gov/legislation/bills/2013/s4592/amendment/original,"Designates the bridge on state route 394 crossing interstate 86 as the ""John Stow Vietnam Veterans and MIA Memorial Bridge""",2013-07-03,Highway,YOUNG,Republican,Catherine Young,2013
90,S3419C,https://www.nysenate.gov/legislation/bills/2015/S3419,Relates to expedited utilization review of prescription drugs,2016-12-31,Insurance ,YOUNG,Republican,Catherine Young,2016
91,S6005A,https://www.nysenate.gov/legislation/bills/2015/S6005,Authorizes the department of environmental conservation to grant an easement through the Boutwell Hill state forest for electric generation facilities associated with a wind powered electric generation project,2016-11-28,Environmental Conservation,YOUNG,Republican,Catherine Young,2016
92,S6368,https://www.nysenate.gov/legislation/bills/2015/s6368/amendment/original,"Designates the bridge on U.S. route 20, between Oak street and South Portage street, in the town of Westfield, county of Chautauqua, as the ""Sergeant Kevin W. White Memorial Bridge""",2016-09-29,Highway,YOUNG,Republican,Catherine Young,2016
93,S7429,https://www.nysenate.gov/legislation/bills/2015/S7429,"Designates a portion of the state highway system as the ""Private First Class Duane C. Scott Memorial Highway""",2016-09-29,Highway,YOUNG,Republican,Catherine Young,2016
94,S5049,https://www.nysenate.gov/legislation/bills/2015/s5049/amendment/original,"Directs the state liquor authority to issue a farm winery license to the Concord Grape Belt Heritage Association Inc. Grape Discovery Center in the town of Westfield, county of Chautauqua",2016-08-24,Alcoholic Beverage Control ,YOUNG,Republican,Catherine Young,2016
95,S7402,https://www.nysenate.gov/legislation/bills/2015/S7402,"Authorizes the town justice of the town of Allen, in the county Allegany, to be a nonresident of such town",2016-08-23,Towns ,YOUNG,Republican,Catherine Young,2016
96,S2991A,https://www.nysenate.gov/legislation/bills/2015/s2991/amendment/a,"Includes within the class D felony of assault in the second degree, the intentional causing of physical injury to a process server to obstruct the server's duty",2016-08-19,Penal ,YOUNG,Republican,Catherine Young,2016
97,S7310,https://www.nysenate.gov/legislation/bills/2015/S7310,Exempts the city of Olean from article four of the general city law,2016-08-19,General City ,YOUNG,Republican,Catherine Young,2016
98,S7187,https://www.nysenate.gov/legislation/bills/2015/S7187,"Makes provisions of law, authorizing big game hunting with a rifle in the county of Livingston, permanent",2016-07-21,Environmental Conservation,YOUNG,Republican,Catherine Young,2016
99,S3422,https://www.nysenate.gov/legislation/bills/2015/s3422/amendment/original,"Requires the conveyance of a paper street in the town of Westfield, county of Chautauqua, to be accompanied by a resolution of the town board of such town",2015-11-20,Real Property ,YOUNG,Republican,Catherine Young,2015
100,S3018A,https://www.nysenate.gov/legislation/bills/2015/s3018/amendment/a,Authorizes local governments to deliver proposed local laws to members of their legislative bodies by means of e-mail,2015-10-26,Municipal Home Rule ,YOUNG,Republican,Catherine Young,2015
101,S6,https://www.nysenate.gov/legislation/bills/2015/s6/amendment/original,Establishes a pilot program for the filing of petitions for temporary orders of protection by electronic means,2015-10-21,Family Court Act,YOUNG,Republican,Catherine Young,2015
102,S4448,https://www.nysenate.gov/legislation/bills/2015/s4448/amendment/original,Relates to authorizing the county of Cattaraugus to impose an additional mortgage recording tax; relates to extending the effectiveness thereof,2015-09-25,Tax,YOUNG,Republican,Catherine Young,2015
103,S4993,https://www.nysenate.gov/legislation/bills/2015/s4993/amendment/original,"Extends from November 30, 2015 to November 30, 2017, the expiration of the hotel and motel tax in the county of Chautauqua",2015-09-25,Tax,YOUNG,Republican,Catherine Young,2015
104,S5317B,https://www.nysenate.gov/legislation/bills/2015/s5317/amendment/b,"Extends expiration of authorization of county of Chautauqua to impose additional 1/2% sales and use taxes until November 30, 2017",2015-09-25,Tax ,YOUNG,Republican,Catherine Young,2015
105,S5326,https://www.nysenate.gov/legislation/bills/2015/s5326/amendment/original,Expands the Western New York Southtowns scenic byway in the county of Cattaraugus,2015-09-25,Highway,YOUNG,Republican,Catherine Young,2015
106,S4182A,https://www.nysenate.gov/legislation/bills/2015/s4182/amendment/a,Provides that dentist's offices shall be originating sites for the purposes of telehealth delivery of services,2015-08-13,Public Health,YOUNG,Republican,Catherine Young,2015
107,S4267A,https://www.nysenate.gov/legislation/bills/2015/s4267/amendment/a,"Designates a portion of state route 15A in the county of Livingston as the ""Springwater Veterans Memorial Highway""",2015-08-13,Highway,YOUNG,Republican,Catherine Young,2015
108,S4268A,https://www.nysenate.gov/legislation/bills/2015/s4268/amendment/a,"Designates a portion of state route 15A in the county of Livingston as the ""Livonia Veterans Memorial Highway""",2015-08-13,Highway,YOUNG,Republican,Catherine Young,2015
109,S4408,https://www.nysenate.gov/legislation/bills/2015/s4408/amendment/original,Relates to extending the expiration of provisions authorizing the county of Cattaraugus to impose an additional one percent of sales and compensating use taxes,2015-08-13,Tax ,YOUNG,Republican,Catherine Young,2015
110,S4409,https://www.nysenate.gov/legislation/bills/2015/s4409/amendment/original,"Extends expiration of authorization of county of Allegany to impose additional 1 1/2% sales and compensating use taxes until November 30, 2017",2015-08-13,Tax ,YOUNG,Republican,Catherine Young,2015
111,S3423,https://www.nysenate.gov/legislation/bills/2015/s3423/amendment/original,"Designates the bridges on interstate route 86 crossing state route 275, in the town of Friendship, county of Allegany, as the ""Susan Foster Myers Memorial Bridge""",2015-08-13,Highway,YOUNG,Republican,Catherine Young,2015
112,S4978A,https://www.nysenate.gov/legislation/bills/2015/s4978/amendment/a,Relates to powers of the New York state housing finance agency,2015-07-23,Private Housing Finance ,YOUNG,Republican,Catherine Young,2015
113,S5081,https://www.nysenate.gov/legislation/bills/2015/s5081/amendment/original,Relates to the management of buildings for which administrators have been appointed,2015-06-30,Real Property Actions and Proceedings ,YOUNG,Republican,Catherine Young,2015
114,S565,https://www.nysenate.gov/legislation/bills/2017/S565,Relates to ultraviolet nail dryers,2018-12-21,General Business ,YOUNG,Republican,Catherine Young,2018
115,S6606,https://www.nysenate.gov/legislation/bills/2017/s6606,"Establishes the ""New York State Silver Rose Veterans Service Certificate"" for veterans exposed to dioxin or phenoxy herbicides during military service",2018-11-05,Military and veterans,YOUNG,Republican,Catherine Young,2018
116,S7712,https://www.nysenate.gov/legislation/bills/2017/s7712,"Designates state route 256 in the town of Conesus, county of Livingston, as the ""Conesus Veterans Memorial Highway""",2018-10-02,Highway,YOUNG,Republican,Catherine Young,2018
117,S8853,https://www.nysenate.gov/legislation/bills/2017/s8853,"Designates state route 20 in the village of Fredonia, county of Chautauqua, as the ""Sergeant Jonathan Gollnitz Memorial Highway""",2018-10-01,Highway,YOUNG,Republican,Catherine Young,2018
118,S8855,https://www.nysenate.gov/legislation/bills/2017/s8855,"Designates state route 394 in the town of Ellicott, county of Chautauqua, as the ""Sergeant James C. Matteson Memorial Highway""",2018-09-28,Highway,YOUNG,Republican,Catherine Young,2018
119,S5570,https://www.nysenate.gov/legislation/bills/2017/s5570/amendment/original,Directs the office of general services to install and maintain a commemorative plaque in the Capitol honoring Samuel J. Abbott,2017-07-25,Public Buildings ,YOUNG,Republican,Catherine Young,2017
120,S5913,https://www.nysenate.gov/legislation/bills/2017/s5913,"Designates a portion of the state highway system as the ""Gerard 'Jess' Fitzpatrick Memorial Bridge""",2017-07-25,Highway,YOUNG,Republican,Catherine Young,2017
121,S6698,https://www.nysenate.gov/legislation/bills/2017/s6698,"Authorizes the town of Livonia, in the county of Livingston, to sell the Jack Evans community center to the Little Lakes Community Association, Inc.",2017-07-25,Municipalities,YOUNG,Republican,Catherine Young,2017
122,S959,https://www.nysenate.gov/legislation/bills/2019/s959,Extends provisions of law relating to authorizing the county of Cattaraugus to impose an additional mortgage recording tax,2019-02-15,Tax,YOUNG,Republican,Catherine Young,2019
123,A9512,https://www.nysenate.gov/legislation/bills/2009/a9512/amendment/original,Renames the Seek Program as the Percy Ellis Sutton SEEK Program,2010-07-15,Education,WRIGHT,Democrat,Tremaine Wright,2010
124,A1308,https://www.nysenate.gov/legislation/bills/2009/a1308/amendment/original,Authorizes the board of elections to employ election inspectors to work half-day shifts with adjusted compensation,2010-03-16,Election ,WRIGHT,Democrat,Tremaine Wright,2010
125,A8823,https://www.nysenate.gov/legislation/bills/2009/a8823/amendment/original,Authorizes the issuance of an alcoholic beverage license to sell liquor at certain premises,2009-08-26,Alcoholic Beverage Control ,WRIGHT,Democrat,Tremaine Wright,2009
126,A7449,https://www.nysenate.gov/legislation/bills/2009/a7449/amendment/original,Extends utility repayment agreements from one year to two in the case of persons applying for public assistance,2009-08-11,Social Services ,WRIGHT,Democrat,Tremaine Wright,2009
